200mm钢附甲板蓝图 I（发明） 3
X射线晶体蓝图 S（发明） 40
中型低摩擦喷嘴接口蓝图 I（发明） 3
中型引力子立体炸弹蓝图 I（发明） 1
中型电磁护盾强化装置蓝图 I（发明） 6
中型粒子散布投放器蓝图 I（发明） 1
中型能量武器轨迹校准设备蓝图 I（发明） 4
中型远程护盾回充增量器蓝图 I（发明） 2
中型锁定系统辅助控制器蓝图 I（发明） 1
反物质轨道弹蓝图 S（发明） 31
多谱式涂层蓝图 I（发明） 26
多频晶体蓝图 S（发明） 9
射频晶体蓝图 S（发明） 12
小型三角装甲聚合器蓝图 I（发明） 3
小型低摩擦喷嘴接口蓝图 I（发明） 12
小型信号集中设备蓝图 I（发明） 1
小型动能护盾强化装置蓝图 I（发明） 2
小型处理器超频组件蓝图 I（发明） 6
小型复合碳素引擎舱蓝图 I（发明） 15
小型射弹武器射速调节装置蓝图 I（发明） 2
小型引力电容器升级蓝图 I（发明） 5
小型护盾扩展装置蓝图 I（发明） 1
小型核心防御力场扩张装置蓝图 I（发明） 23
小型核心防御力场稳固装置蓝图 I（发明） 2
小型横贯舱壁蓝图 I（发明） 8
小型液压舱推进器蓝图 I（发明） 6
小型混合武器冲击加速器蓝图 I（发明） 1
小型混合武器射速调节装置蓝图 I（发明） 4
小型混合武器轨迹校准设备蓝图 I（发明） 2
小型火箭燃料缓冲隔离装置蓝图 I（发明） 3
小型热能护盾强化装置蓝图 I（发明） 5
小型热能装甲强化装置蓝图 I（发明） 2
小型爆炸护盾强化装置蓝图 I（发明） 1
小型电容器控制电路蓝图 I（发明） 2
小型电磁护盾强化装置蓝图 I（发明） 20
小型离子力场投射器蓝图 I（发明） 5
小型粒子散布投放器蓝图 I（发明） 1
小型能量武器冲击加速器蓝图 I（发明） 3
小型能量武器发散调节装置蓝图 I（发明） 6
小型能量武器轨迹校准设备蓝图 I（发明） 7
小型装卸加速装置蓝图 I（发明） 5
小型超空间速度调节器蓝图 I（发明） 35
小型辅助推进器蓝图 I（发明） 5
小型辅助电源路由器蓝图 I（发明） 7
小型锁定系统辅助控制器蓝图 I（发明） 1
强化舱隔壁蓝图 I（发明） 27
扩充货柜舱蓝图 I（发明） 45
护盾回充器蓝图 I（发明） 4
普通小行星采集晶体C型蓝图 I（发明） 6
电容回充器蓝图 I（发明） 42
电容通量线圈蓝图 I（发明） 2
紫外晶体蓝图 S（发明） 25
纳米纤维内部构架蓝图 I（发明） 119
采矿调查芯片组蓝图 I（发明） 5
钍质轨道弹蓝图 S（发明） 8
锰质轨道弹蓝图 S（发明） 3
雷神鱼雷蓝图（发明） 1
鞭挞火箭蓝图（发明） 9
