蓝图名称	任务类型	数量	单次时间(秒)	时间效率	总时间(秒)	总时间(格式化)	备注
碳化晶体反应配方	反应	136	10800	1.0	1468800.0	17.0天	反应配方
菲尔合金碳化物反应配方	反应	116	10800	1.0	1252800.0	14.5天	反应配方
富勒化合物反应配方	反应	28	10800	1.0	302400.0	3.5天	反应配方
鞭挞轻型导弹蓝图	拷贝	6930	240	0.8	1330560.0	15.4天	T1蓝图拷贝
鞭挞轻型导弹蓝图	制造	6930	300	0.9	1871100.0	21.7天	T1制造
雷神轻型导弹蓝图	拷贝	7	240	0.8	1344.0	22.4分钟	T1蓝图拷贝
雷神轻型导弹蓝图	制造	7	300	0.9	1890.0	31.5分钟	T1制造
125mm加特林自动加农炮蓝图 I	拷贝	445	720	0.8	256320.0	3.0天	T1蓝图拷贝
125mm加特林自动加农炮蓝图 I	制造	445	900	0.9	360450.0	4.2天	T1制造
280mm榴弹炮蓝图 I	拷贝	1405	720	0.8	809280.0	9.4天	T1蓝图拷贝
280mm榴弹炮蓝图 I	制造	1405	900	0.9	1138050.0	13.2天	T1制造
双联轻型集束激光器蓝图 I	拷贝	55	720	0.8	31680.0	8.8小时	T1蓝图拷贝
双联轻型集束激光器蓝图 I	制造	55	900	0.9	44550.0	12.4小时	T1制造
碳铅弹蓝图 S	拷贝	3059	240	0.8	587328.0	6.8天	T1蓝图拷贝
碳铅弹蓝图 S	制造	3059	300	0.9	825930.0	9.6天	T1制造
质子弹蓝图 S	拷贝	538	240	0.8	103296.0	1.2天	T1蓝图拷贝
质子弹蓝图 S	制造	538	300	0.9	145260.0	1.7天	T1制造
硬钼弹蓝图 S	拷贝	3436	240	0.8	659712.0	7.6天	T1蓝图拷贝
硬钼弹蓝图 S	制造	3436	300	0.9	927720.0	10.7天	T1制造
聚变弹蓝图 S	拷贝	12374	240	0.8	2375808.0	27.5天	T1蓝图拷贝
聚变弹蓝图 S	制造	12374	300	0.9	3340980.0	38.7天	T1制造
定相等离子弹蓝图 L	拷贝	5711	720	0.8	3289536.0	38.1天	T1蓝图拷贝
定相等离子弹蓝图 L	制造	5711	900	0.9	4625910.0	53.5天	T1制造
小型护盾扩展装置蓝图 I	拷贝	1498	720	0.8	862848.0	10.0天	T1蓝图拷贝
